classifier,tr_precision,tr_recall,tr_f1 ,tr_accuracy,tr_cv,te_precision,te_recall,te_f1 ,te_accuracy,te_cv
LogR,0.971,0.975,0.972,0.972,0.92,0.975,0.944,0.958,0.964,0.92
gNB,0.971,0.975,0.972,0.972,0.86,0.909,0.947,0.922,0.929,0.86
SVM,0.954,0.958,0.954,0.954,0.93,0.975,0.944,0.958,0.964,0.93
DT,0.99,0.992,0.991,0.991,0.83,0.975,0.944,0.958,0.964,0.83
RF,0.99,0.992,0.991,0.991,0.9,0.975,0.944,0.958,0.964,0.9
KNN,0.858,0.846,0.833,0.833,0.79,0.896,0.722,0.75,0.821,0.79
LDA,0.99,0.992,0.991,0.991,0.68,0.918,0.918,0.918,0.929,0.68
mNB,0.934,0.937,0.935,0.935,0.89,0.952,0.889,0.912,0.929,0.89
ABC,0.99,0.992,0.991,0.991,0.85,0.975,0.944,0.958,0.964,0.85
GBC,0.99,0.992,0.991,0.991,0.84,0.975,0.944,0.958,0.964,0.84
ETC,0.99,0.992,0.991,0.991,0.89,0.975,0.944,0.958,0.964,0.87
BC,0.98,0.983,0.981,0.981,0.79,0.975,0.944,0.958,0.964,0.84
ENS-1,0.99,0.992,0.991,0.991,0.88,0.975,0.944,0.958,0.964,0.88
ENS-2,0.971,0.975,0.972,0.972,0.92,0.975,0.944,0.958,0.964,0.92
LogR,0.962,0.966,0.963,0.963,0.93,0.975,0.944,0.958,0.964,0.93
gNB,0.971,0.975,0.972,0.972,0.87,0.909,0.947,0.922,0.929,0.87
SVM,0.954,0.958,0.954,0.954,0.94,0.975,0.944,0.958,0.964,0.94
DT,0.99,0.992,0.991,0.991,0.84,0.952,0.889,0.912,0.929,0.84
RF,0.98,0.983,0.981,0.981,0.89,0.952,0.889,0.912,0.929,0.89
KNN,0.858,0.846,0.833,0.833,0.79,0.913,0.778,0.81,0.857,0.79
LDA,0.99,0.992,0.991,0.991,0.78,0.857,0.807,0.825,0.857,0.78
mNB,0.934,0.937,0.935,0.935,0.89,0.952,0.889,0.912,0.929,0.89
ABC,0.99,0.992,0.991,0.991,0.85,0.975,0.944,0.958,0.964,0.85
GBC,0.99,0.992,0.991,0.991,0.85,0.952,0.889,0.912,0.929,0.86
ETC,0.99,0.992,0.991,0.991,0.88,0.975,0.944,0.958,0.964,0.89
BC,0.98,0.983,0.981,0.981,0.86,0.952,0.889,0.912,0.929,0.85
ENS-1,0.99,0.992,0.991,0.991,0.88,0.975,0.944,0.958,0.964,0.88
ENS-2,0.962,0.966,0.963,0.963,0.94,0.975,0.944,0.958,0.964,0.94
LogR,0.962,0.966,0.963,0.963,0.93,0.975,0.944,0.958,0.964,0.93
gNB,0.971,0.975,0.972,0.972,0.87,0.909,0.947,0.922,0.929,0.87
SVM,0.954,0.958,0.954,0.954,0.94,0.975,0.944,0.958,0.964,0.94
DT,0.99,0.992,0.991,0.991,0.84,0.952,0.889,0.912,0.929,0.84
RF,0.98,0.983,0.981,0.981,0.89,0.952,0.889,0.912,0.929,0.89
KNN,0.858,0.846,0.833,0.833,0.79,0.913,0.778,0.81,0.857,0.79
LDA,0.99,0.992,0.991,0.991,0.78,0.857,0.807,0.825,0.857,0.78
mNB,0.934,0.937,0.935,0.935,0.89,0.952,0.889,0.912,0.929,0.89
ABC,0.99,0.992,0.991,0.991,0.85,0.975,0.944,0.958,0.964,0.85
GBC,0.99,0.992,0.991,0.991,0.85,0.952,0.889,0.912,0.929,0.85
ETC,0.99,0.992,0.991,0.991,0.89,0.975,0.944,0.958,0.964,0.88
BC,0.99,0.992,0.991,0.991,0.87,0.975,0.944,0.958,0.964,0.79
ENS-1,0.99,0.992,0.991,0.991,0.88,0.975,0.944,0.958,0.964,0.88
ENS-2,0.962,0.966,0.963,0.963,0.94,0.975,0.944,0.958,0.964,0.94
