classifier,tr_precision,tr_recall,tr_f1 ,tr_accuracy,te_precision,te_recall,te_f1 ,te_accuracy
LogR,0.962,0.96,0.961,0.961,0.927,0.933,0.928,0.928
gNB,0.815,0.722,0.694,0.714,0.848,0.77,0.774,0.794
SVM,0.978,0.976,0.977,0.977,0.967,0.972,0.969,0.969
DT,1.0,1.0,1.0,1.0,0.907,0.905,0.906,0.907
RF,0.995,0.995,0.995,0.995,0.958,0.958,0.958,0.959
KNN,0.929,0.926,0.925,0.925,0.855,0.851,0.853,0.856
LDA,1.0,1.0,1.0,1.0,0.899,0.863,0.87,0.876
mNB,0.893,0.89,0.89,0.891,0.898,0.893,0.895,0.897
ABC,0.995,0.995,0.995,0.995,0.928,0.926,0.927,0.928
GBC,0.997,0.997,0.997,0.997,0.949,0.947,0.948,0.948
ETC,1.0,1.0,1.0,1.0,0.967,0.972,0.969,0.969
BC,1.0,1.0,1.0,1.0,0.898,0.893,0.895,0.897
ENS-1,1.0,1.0,1.0,1.0,0.978,0.981,0.979,0.979
ENS-2,0.995,0.995,0.995,0.995,0.989,0.991,0.99,0.99
