classifier,tr_precision,tr_recall,tr_f1 ,tr_accuracy,te_precision,te_recall,te_f1 ,te_accuracy
LogR,0.989,0.989,0.989,0.989,0.956,0.956,0.956,0.957
gNB,0.974,0.971,0.972,0.972,0.956,0.956,0.956,0.957
SVM,0.978,0.978,0.978,0.978,0.933,0.9,0.909,0.913
DT,0.994,0.995,0.994,0.994,0.935,0.942,0.935,0.935
RF,0.989,0.989,0.989,0.989,0.889,0.892,0.89,0.891
KNN,0.909,0.904,0.905,0.906,0.845,0.848,0.846,0.848
LDA,0.994,0.995,0.994,0.994,0.912,0.912,0.912,0.913
mNB,0.917,0.913,0.911,0.911,0.87,0.831,0.839,0.848
ABC,0.994,0.995,0.994,0.994,0.932,0.937,0.934,0.935
GBC,0.994,0.995,0.994,0.994,0.892,0.887,0.889,0.891
ETC,0.994,0.995,0.994,0.994,0.981,0.975,0.978,0.978
BC,0.989,0.989,0.989,0.989,0.867,0.867,0.867,0.87
ENS-1,0.994,0.995,0.994,0.994,0.981,0.975,0.978,0.978
ENS-2,0.994,0.995,0.994,0.994,0.948,0.925,0.932,0.935
